Provinsi/Kabupaten/Kota/Indonesia,,,,,,,,,,
,,,,,,,,,,
,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Sekadau,6820,7001,7326,7640,7434,7462,7566,7981,8511,8862
Melawi,7858,7922,8202,8465,8332,8415,8830,9155,9596,9799
Kayong Utara,7030,7434,7552,7905,7842,7920,8234,8594,9016,9306
Kubu Raya,8145,8430,8532,8773,8709,8630,9142,9605,10132,10500
Kota Pontianak,13838,13904,14322,14515,14465,14610,15141,15632,16212,16725
Kota Singkawang,11006,11122,11514,11789,11650,11767,12089,12457,12945,13344
KALIMANTAN TENGAH,10155,10492,10931,11236,11154,11182,11458,11878,12303,12612
Kotawaringin Barat,12101,12420,12788,13175,13109,13117,13352,13798,14095,14507
Kotawaringin Timur,10922,11249,11556,11905,11854,11866,12048,12546,13042,13434
Kapuas,10287,10421,10738,11063,11015,11148,11377,11829,12265,12602
Barito Selatan,10938,11031,11242,11582,11486,11492,11780,12067,12508,12736
Barito Utara,8774,9067,9357,10010,9936,9951,10182,10720,11150,11534
Sukamara,7792,8177,8482,8738,8674,8773,9225,9494,9809,10178
Lamandau,10049,10455,10996,11278,11190,11234,11559,12050,12278,12498
Seruyan,8331,8658,9110,9385,9370,9420,9821,10157,10474,10620
