Tahun,Provinsi,APM_SD,APM_SMP,APM_SMA,RLS
2021,Sulawesi Selatan,98.26,77.02,60.35,8.46
2021,Sulawesi Tengah,93.33,74.99,65.44,8.89
2021,Sulawesi Tenggara,98.15,77.86,63.7,9.13
2021,Sulawesi Utara,95.39,74.94,63.33,9.62
2021,Sumatera Barat,98.82,78.75,68.99,9.07
2021,Sumatera Selatan,98.0,78.31,60.53,8.3
2021,Sumatera Utara,97.69,81.13,67.99,9.58
2022,Aceh,99.07,88.21,71.16,9.44
2022,Bali,97.46,86.88,74.73,9.39
2022,Banten,97.93,84.67,59.54,9.13
2022,Bengkulu,98.6,80.25,66.61,8.91
2022,Daerah Istimewa Yogyakarta,99.43,85.28,74.5,9.75
2022,Daerah Khusus Jakarta,98.37,84.22,60.88,11.31
2022,Gorontalo,98.74,71.66,58.47,8.02
2022,Jambi,99.33,79.93,60.73,8.68
2022,Jawa Barat,98.29,82.8,58.6,8.78
2022,Jawa Tengah,98.39,81.02,61.17,7.93
2022,Jawa Timur,98.09,83.8,62.1,8.03
2022,Kalimantan Barat,97.52,68.32,51.87,7.59
2022,Kalimantan Selatan,99.12,76.28,59.61,8.46
2022,Kalimantan Tengah,99.11,78.75,55.69,8.65
2022,Kalimantan Timur,98.45,82.65,69.1,9.92
2022,Kalimantan Utara,93.69,79.38,65.65,9.27
2022,Kepulauan Bangka Belitung,98.01,74.68,59.65,8.11
2022,Kepulauan Riau,99.2,86.76,73.54,10.37
2022,Lampung,99.29,82.07,61.96,8.18
2022,Maluku,96.9,78.37,64.57,10.19
2022,Maluku Utara,97.27,77.41,65.35,9.24
2022,Nusa Tenggara Barat,98.83,86.05,67.61,7.61
2022,Nusa Tenggara Timur,96.08,70.05,56.0,7.7
2022,Papua,81.66,59.14,47.63,7.02
2022,Papua Barat,94.31,71.38,63.66,7.84
2022,Papua Barat Daya,93.3,72.34,55.03,8.14
2022,Papua Pegunungan,73.94,53.37,36.19,3.96
2022,Papua Selatan,86.73,54.93,41.8,8.13
2022,Papua Tengah,71.64,51.54,31.91,5.87
2022,Riau,97.8,80.43,63.87,9.22
2022,Sulawesi Barat,95.81,70.34,60.24,8.08
2022,Sulawesi Selatan,98.41,77.42,60.44,8.63
2022,Sulawesi Tengah,93.25,75.63,65.72,8.89
2022,Sulawesi Tenggara,98.27,77.77,64.11,9.25
2022,Sulawesi Utara,95.44,76.11,63.3,9.68
