Tahun,Provinsi,APM_SD,APM_SMP,APM_SMA,PPK,RLS
2023,Kalimantan Tengah,99.05,79.07,55.63,11878.0,8.73
2023,Kalimantan Timur,98.53,83.36,69.89,13202.0,9.99
2023,Kalimantan Utara,94.73,80.53,66.7,9734.0,9.34
2023,Kepulauan Bangka Belitung,98.11,77.0,60.72,13589.0,8.25
2023,Kepulauan Riau,99.29,86.78,74.11,14998.0,10.41
2023,Lampung,99.22,80.64,62.84,10769.0,8.29
2023,Maluku,97.27,78.58,66.16,9278.0,10.2
2023,Maluku Utara,97.36,78.53,65.75,8834.0,9.26
2023,Nusa Tenggara Barat,98.76,84.03,68.04,11095.0,7.74
2023,Nusa Tenggara Timur,95.98,73.47,58.15,8248.0,7.82
2023,Papua,80.67,60.23,48.32,7562.0,7.15
2023,Papua Barat,94.52,74.7,65.92,8404.0,7.93
2023,Papua Barat Daya,93.6,73.27,56.26,8611.0,8.27
2023,Papua Pegunungan,74.24,54.3,37.42,5396.0,4.09
2023,Papua Selatan,87.03,55.86,43.03,9518.0,8.26
2023,Papua Tengah,71.94,52.47,33.14,7571.0,6.0
2023,Riau,98.13,80.76,64.81,11448.0,9.32
2023,Sulawesi Barat,95.92,72.39,61.17,9718.0,8.13
2023,Sulawesi Selatan,98.41,77.98,60.57,11841.0,8.76
2023,Sulawesi Tengah,93.31,76.8,66.18,10149.0,8.96
2023,Sulawesi Tenggara,98.48,76.54,64.0,10117.0,9.31
2023,Sulawesi Utara,95.68,76.56,63.86,11497.0,9.77
2023,Sumatera Barat,98.89,80.22,69.18,11380.0,9.28
2023,Sumatera Selatan,98.12,79.12,61.24,11472.0,8.5
2023,Sumatera Utara,97.95,82.09,68.67,11049.0,9.82
2024,Aceh,97.96,84.22,70.94,10811.0,9.64
2024,Bali,98.7,86.3,74.19,14920.0,9.54
2024,Banten,98.09,83.68,63.5,13097.0,9.23
2024,Bengkulu,98.33,82.36,69.14,11733.0,9.04
2024,Daerah Istimewa Yogyakarta,99.43,90.14,77.86,15361.0,9.92
2024,Daerah Khusus Jakarta,98.39,88.67,64.85,19953.0,11.49
2024,Gorontalo,98.2,72.51,61.23,11539.0,8.29
2024,Jambi,98.17,79.65,62.48,11621.0,8.9
2024,Jawa Barat,98.53,84.61,60.68,12157.0,8.87
2024,Jawa Tengah,98.39,81.03,62.56,12276.0,8.02
2024,Jawa Timur,98.81,84.52,64.77,12852.0,8.28
2024,Kalimantan Barat,98.6,72.9,57.18,10321.0,7.78
